GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2024122909,12/29/2024,4,13,42,TB,CAR,3,7,21,,0,,0,"(13:42) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 13-M.EVANS TO CAR 15 FOR 6 YARDS (31-C.FARLEY). PENALTY ON CAR-7-J.CLOWNEY, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT CAR 21 - NO PLAY.",0,,,2024,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,1,0,0,,79,OPP,1,CAR,1,DEFENSIVE OFFSIDE,5
2024122909,12/29/2024,4,14,25,TB,CAR,2,6,20,,0,,0,(14:25) (SHOTGUN) 1-R.WHITE RIGHT TACKLE TO CAR 21 FOR -1 YARDS (2-M.JACKSON).,0,,,2024,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,80,OPP,0,,0,,0
2024122909,12/29/2024,4,15,0,TB,CAR,1,10,24,,0,,0,(15:00) 6-B.MAYFIELD PASS SHORT LEFT TO 1-R.WHITE TO CAR 20 FOR 4 YARDS (41-J.WINDMON).,0,,,2024,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,76,OPP,0,,0,,0
2024122909,12/29/2024,3,0,49,TB,CAR,1,10,36,,0,,0,(:49) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT MIDDLE TO 87-P.DURHAM (41-J.WINDMON).,0,,,2024,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,64,OPP,0,,0,,0
2024122909,12/29/2024,3,5,48,CAR,TB,0,0,35,,1,,0,"5-J.BROWNING KICKS 65 YARDS FROM TB 35 TO END ZONE, TOUCHBACK TO THE CAR 30.",0,,,2024,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,65,OPP,0,,0,,0
2024122909,12/29/2024,3,5,48,TB,CAR,0,0,0,,1,,0,TIMEOUT AT 05:48.,0,,,2024,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122909,12/29/2024,3,5,48,TB,CAR,0,0,15,,1,,0,"4-C.MCLAUGHLIN EXTRA POINT IS GOOD, CENTER-86-E.DECKERS, HOLDER-5-J.BROWNING.",0,,,2024,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,85,OPP,0,,0,,0
2024122909,12/29/2024,3,5,52,TB,CAR,3,5,5,,1,,0,"(5:52) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 87-P.DURHAM FOR 5 YARDS, TOUCHDOWN.",0,,,2024,5,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,95,OPP,0,,0,,0
2024122909,12/29/2024,3,6,35,TB,CAR,2,6,6,,0,,0,(6:35) 6-B.MAYFIELD PASS SHORT LEFT TO 15-J.MCMILLAN TO CAR 5 FOR 1 YARD (36-D.RICHARDSON).,0,,,2024,1,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,94,OPP,0,,0,,0
2024122909,12/29/2024,3,9,9,TB,CAR,1,10,26,,0,,0,(9:09) 7-B.IRVING RIGHT GUARD TO CAR 20 FOR 6 YARDS (57-C.WOOTEN; 41-J.WINDMON).,0,,,2024,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,74,OPP,0,,0,,0
2024122909,12/29/2024,3,9,36,TB,CAR,1,10,42,,1,,0,"(9:36) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 7-B.IRVING TO CAR 26 FOR 16 YARDS (23-D.JACKSON). CAR-94-A.ROBINSON WAS INJURED DURING THE PLAY.",0,,,2024,16,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,58,OPP,0,,0,,0
2024122907,12/29/2024,2,10,5,GB,MIN,1,10,48,,0,,0,(10:05) (SHOTGUN) 8-J.JACOBS UP THE MIDDLE TO MIN 43 FOR 5 YARDS (1-S.GRIFFIN; 24-C.BYNUM). MIN-91-P.JONES WAS INJURED DURING THE PLAY.,0,,,2024,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,52,OPP,0,,0,,0
2024122907,12/29/2024,2,11,52,GB,MIN,0,0,35,,1,,0,"16-W.REICHARD KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK TO THE GB 30.",0,,,2024,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,65,OPP,0,,0,,0
2024122907,12/29/2024,2,11,52,MIN,GB,0,0,0,,1,,0,TIMEOUT AT 11:52.,0,,,2024,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122907,12/29/2024,2,11,52,MIN,GB,0,0,15,,1,,0,"16-W.REICHARD EXTRA POINT IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-17-R.WRIGHT.",0,,,2024,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,85,OPP,0,,0,,0
2024122907,12/29/2024,2,12,19,MIN,GB,1,10,33,,0,,0,(12:19) 33-A.JONES LEFT GUARD TO GB 31 FOR 2 YARDS (45-ER.WILSON).,0,,,2024,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT GUARD,67,OPP,0,,0,,0
2024122907,12/29/2024,2,12,57,MIN,GB,2,12,46,,1,,0,(12:57) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 3-J.ADDISON PUSHED OB AT GB 33 FOR 13 YARDS (25-K.NIXON).,0,,,2024,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,54,OPP,0,,0,,0
2024122907,12/29/2024,2,13,35,MIN,GB,1,10,44,,0,,0,(13:35) 33-A.JONES RIGHT END TO GB 46 FOR -2 YARDS (56-E.COOPER).,0,,,2024,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,56,OPP,0,,0,,0
2024122906,12/29/2024,2,8,59,JAX,TEN,0,0,0,,1,,0,TIMEOUT AT 08:59.,0,,,2024,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122906,12/29/2024,2,8,59,JAX,TEN,0,0,15,,1,,0,"39-C.LITTLE EXTRA POINT IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,,,2024,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,85,OPP,0,,0,,0
2024122906,12/29/2024,2,9,6,JAX,TEN,2,2,2,,1,,0,"(9:06) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE TO 11-P.WASHINGTON FOR 2 YARDS, TOUCHDOWN.",0,,,2024,2,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,98,OPP,0,,0,,0
2024122906,12/29/2024,2,9,48,JAX,TEN,1,3,3,,0,,0,(9:48) 1-T.ETIENNE LEFT TACKLE TO TEN 2 FOR 1 YARD (57-L.GIFFORD).,0,,,2024,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,97,OPP,0,,0,,0
2024122906,12/29/2024,2,10,31,JAX,TEN,2,5,21,,1,,0,(10:31) 7-B.THOMAS RIGHT END PUSHED OB AT TEN 3 FOR 18 YARDS (57-L.GIFFORD; 29-J.BROWNLEE).,0,,,2024,18,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,79,OPP,0,,0,,0
2024122906,12/29/2024,2,10,31,JAX,TEN,0,0,0,,1,,0,TIMEOUT #1 BY JAX AT 10:31.,0,,,2024,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122906,12/29/2024,1,0,0,TEN,JAX,0,0,0,,1,,0,END QUARTER 1,0,,,2024,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122904,12/29/2024,1,7,37,ATL,WAS,2,9,33,,0,,0,(7:37) (SHOTGUN) 9-M.PENIX PASS SHORT MIDDLE TO 8-K.PITTS TO WAS 28 FOR 5 YARDS (11-J.CHINN).,0,,,2024,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,67,OPP,0,,0,,0
2024122904,12/29/2024,1,8,19,ATL,WAS,1,10,34,,0,,0,(8:19) 9-M.PENIX PASS SHORT RIGHT TO 7-B.ROBINSON TO WAS 33 FOR 1 YARD (54-B.WAGNER; 92-D.ARMSTRONG).,0,,,2024,1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,66,OPP,0,,0,,0
2024122904,12/29/2024,1,9,33,ATL,WAS,0,0,35,,1,,0,"47-Z.GONZALEZ KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK TO THE ATL 30.",0,,,2024,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,65,OPP,0,,0,,0
2024122904,12/29/2024,1,11,40,WAS,ATL,2,8,24,,1,,0,"(11:40) (NO HUDDLE, SHOTGUN) 5-J.DANIELS PASS SHORT RIGHT TO 14-O.ZACCHEAUS TO ATL 15 FOR 9 YARDS (55-K.ELLISS).",0,,,2024,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,76,OPP,0,,0,,0
2024122904,12/29/2024,1,12,17,WAS,ATL,1,10,26,,0,,0,"(12:17) (NO HUDDLE, SHOTGUN) 8-B.ROBINSON RIGHT GUARD TO ATL 24 FOR 2 YARDS (90-D.ONYEMATA; 21-M.HUGHES).",0,,,2024,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT GUARD,74,OPP,0,,0,,0
2024122904,12/29/2024,1,12,45,WAS,ATL,1,10,38,,1,,0,(12:45) (SHOTGUN) 5-J.DANIELS PASS SHORT RIGHT TO 14-O.ZACCHEAUS PUSHED OB AT ATL 26 FOR 12 YARDS (3-J.BATES; 55-K.ELLISS).,0,,,2024,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,62,OPP,0,,0,,0
2024122903,12/29/2024,4,2,20,IND,NYG,0,0,35,,1,,0,"9-G.GANO KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK TO THE IND 30.",0,,,2024,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,65,OPP,0,,0,,0
2024122903,12/29/2024,4,2,24,NYG,IND,4,5,12,,0,,0,"(2:24) 9-G.GANO 30 YARD FIELD GOAL IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.",0,,,2024,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,88,OPP,0,,0,,0
2024122903,12/29/2024,4,2,29,NYG,IND,0,0,0,,1,,0,TIMEOUT #2 BY IND AT 02:29.,0,,,2024,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122903,12/29/2024,4,2,33,NYG,IND,2,8,15,,0,,0,(2:33) 75-J.EZEUDU REPORTED IN AS ELIGIBLE.  29-T.TRACY UP THE MIDDLE TO IND 14 FOR 1 YARD (54-D.ODEYINGBO; 99-D.BUCKNER).,0,,,2024,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,85,OPP,0,,0,,0
2024122903,12/29/2024,4,2,33,NYG,IND,0,0,0,,1,,0,TIMEOUT #1 BY IND AT 02:33.,0,,,2024,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,100,OPP,0,,0,,0
2024122903,12/29/2024,4,2,46,NYG,IND,1,10,17,,0,,0,(2:46) 75-J.EZEUDU REPORTED IN AS ELIGIBLE.  29-T.TRACY UP THE MIDDLE TO IND 15 FOR 2 YARDS (44-Z.FRANKLIN; 57-J.CARLIES).,0,,,2024,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,83,OPP,0,,0,,0
